Zip Code,Confirmed COVID-19 Cases,Confirmed COVID-19 Deaths,Date,Source URL

10001,242,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10002,666,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10003,329,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10004,24,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10005,42,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10006,13,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10007,36,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10009,480,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10010,190,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10011,380,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10012,113,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10013,170,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10014,229,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10016,480,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10017,100,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10018,159,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10019,424,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10021,412,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10022,238,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10023,416,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10024,447,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10025,810,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10026,400,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10027,612,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10028,351,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10029,1076,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10030,323,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10031,755,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10032,857,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10033,735,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10034,399,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10035,583,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10036,277,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10037,281,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10038,160,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10039,310,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10040,576,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10044,103,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10065,233,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10069,40,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10075,294,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10128,460,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10280,32,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10282,52,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10301,716,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10302,380,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10303,555,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10304,911,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10305,801,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10306,1001,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10307,274,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10308,478,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10309,639,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10310,452,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10312,1118,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10314,1783,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10451,932,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

10452,1268,N/A,2020-04-17,https://raw.githubusercontent.com/nychealth/coronavirus-data/master/tests-by-zcta.csv

