Zip Code,Confirmed COVID-19 Cases,Confirmed COVID-19 Deaths,Date,Source URL
73942,648,4,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74006,193,22,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73501,125,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73072,117,12,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73160,116,9,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73945,85,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73170,79,8,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73013,76,6,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74344,74,15,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73080,67,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74012,66,8,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73554,66,7,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73099,65,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73119,65,6,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73112,64,4,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73120,61,5,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73107,60,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74429,60,12,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74003,58,8,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74070,57,7,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73047,56,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73071,54,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74133,53,3,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74110,52,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73505,51,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74960,46,3,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74135,45,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74146,45,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74136,42,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73012,41,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73142,40,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73132,38,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73069,38,4,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74014,38,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73009,37,8,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74066,37,3,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74467,37,4,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74063,36,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73018,36,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73110,35,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74604,33,4,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73169,33,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73034,32,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74011,32,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73122,32,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73162,31,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74105,31,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74501,30,3,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74115,29,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74019,29,3,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73127,28,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74029,28,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74129,28,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74055,27,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73115,27,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73139,25,4,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73116,25,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73507,25,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74106,24,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74039,24,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74017,24,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74137,23,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73159,23,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74464,22,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73129,22,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73542,22,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73008,22,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74145,22,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73068,22,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74801,22,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73521,21,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73114,21,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74020,21,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74033,21,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74965,21,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74008,21,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73010,21,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74023,20,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73135,20,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74134,20,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73949,20,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73064,20,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73020,19,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74021,19,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73111,18,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74127,17,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74037,17,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74354,17,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74107,16,3,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74601,16,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74112,16,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73109,16,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73134,15,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73044,15,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73533,15,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73089,15,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73003,15,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73141,15,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74128,14,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74804,14,3,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73118,14,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73130,13,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73026,13,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73084,13,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74301,13,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74116,13,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73078,13,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73005,13,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73108,12,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73951,12,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73950,12,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73036,12,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74048,12,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73103,12,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74056,12,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74331,12,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73106,12,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74051,12,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73939,11,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73051,11,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74075,11,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74403,11,3,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74857,11,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74361,11,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73703,11,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74868,10,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73096,10,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73701,10,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74104,10,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73401,10,1,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73503,10,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74074,10,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74132,9,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74421,9,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74434,9,2,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74126,9,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74119,9,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
73045,9,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74701,8,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
74010,8,0,2020-05-19,https://storage.googleapis.com/ok-covid-gcs-public-download/oklahoma_cases_zip.csv
