Zip Code,Confirmed COVID-19 Cases,Confirmed COVID-19 Deaths,Date,Source URL

20105,59,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

20106,25,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

20109,499,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

20110,533,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

20111,383,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

20112,96,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

20115,18,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

20117,7,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

20118,,,2020-05-13,https://public.tableau.com/views/VirginiaCOVID-19ZIPCodeDashboard/ZIPCodeTable?%3Aembed=y&%3AshowVizHome=no&%3Adisplay_count=y&%3Adisplay_static_image=n&%3AbootstrapWhenNotified=false

